a  啊
fa-zhou  法咒
fa-zhuan  发传
fa-zhui-yao  法锥要
fa-zi 发紫 法子  发自
fa-zi-fei-fu  发自肺腑
fa-zi-nei-xin  发自内心
fa-zuo  发作
fan 饭 凡 翻 幡  犯
fan-bai 泛白  翻白
fan-bai-wei-sheng  反败为胜
fan-bai-yan  翻白眼
fan-bei  翻倍
fan-ben 翻本  范本
fan-bian  翻遍
fan-bo  反驳
fan-bu  反哺
fan-bu-chu  翻不出
fan-bu-qi  翻不起
fan-bu-shang  犯不上
fan-bu-zhao 范不着  犯不着
fan-bu-zhe 范不着  犯不着
fan-bu-zhuo 范不着  犯不着
fan-cai  饭菜
fan-cha  反差
fan-chai  反差
fan-chang 反常  梵唱
fan-chao  反超
fan-chen  凡尘
fan-cheng  繁盛
fan-chong 凡虫 犯冲  繁重
fan-chou 犯愁  范畴
fan-chu 翻出  泛出
fan-chu-lai  翻出来
fan-chuan  翻船
fan-chun-xiang-ji  反唇相讥
fan-ci 凡次  反差
fan-cuo  犯错
fan-cuo-wu  犯错误
fan-dan  反弹
fan-dao 翻到  反倒
fan-de  犯得
fan-di  犯地
fan-di-gu  犯嘀咕
fan-dian 犯点  泛点
fan-die  反跌
fan-dong  翻动
fan-dui  反对
fan-duo  繁多
fan-e  烦恶
fan-er  反而
fan-fan 翻番  翻翻
fan-fan-fu-fu  反反复复
fan-fan-zhi-jiao  泛泛之交
fan-fei  翻飞
fan-fen  凡分
fan-fu 翻覆 凡夫 反复  繁复
fan-fu-su-zi  凡夫俗子
fan-fu-tui-qiao  反复推敲
fan-fu-wu-chang 反覆无常  反复无常
fan-gan 凡杆  反感
fan-ge 翻个  凡个
fan-gong  反攻
fan-gu  返谷
fan-guan 饭馆  反观
fan-guang  反光
fan-gun  翻滚
fan-guo 犯过 反过  翻过
fan-guo-lai  反过来
fan-guo-lai-shuo  反过来说
fan-hai  返还
fan-he 饭盒  凡何
fan-hei  泛黑
fan-hong  泛红
fan-hou  饭后
fan-hu  凡乎
fan-hua 反话 番话  繁华
fan-hua-si-jin  繁花似锦
fan-huan  返还
fan-hui 犯讳 反悔  返回
fan-huo  凡火
fan-ji 犯忌  反击
fan-jian 翻检  凡间
fan-jian-ji  反间计
fan-jiang  反将
fan-jiang-dao-hai  翻江倒海
fan-jie  犯戒
fan-ju  凡句
fan-kai  翻开
fan-kan  翻看
fan-kang  反抗
fan-ke-wei-zhu  反客为主
fan-kui  反馈
fan-kun  犯困
fan-lai  翻来
fan-lai-fu-qu  翻来覆去
fan-lan 泛蓝  泛滥
fan-lao  烦劳
fan-lao-hai-tong  返老还童
fan-lao-huan-tong  返老还童
fan-le-yi-fan  翻了一番
fan-li 饭粒  凡粒
fan-lian  翻脸
fan-lian-bu-ren-ren  翻脸不认人
fan-lian-wu-qing 反脸无情  翻脸无情
fan-liao-yi-fan  翻了一番
fan-luan  烦乱
fan-lv  凡率
fan-mai  贩卖
fan-mang  繁忙
fan-mao  繁茂
fan-men  烦闷
fan-mi  繁密
fan-mian 反面  幡面
fan-ming  凡名
fan-mou  范某
fan-mu  反目
fan-mu-cheng-chou  反目成仇
fan-nan  犯难
fan-nao  烦恼
fan-nv  凡女
fan-pai  反派
fan-pan 反叛  翻盘
fan-pei  反赔
fan-pin  凡品
fan-pu 返璞  反扑
fan-pu-gui-zhen  返璞归真
fan-qi 翻起 犯起  泛起
fan-qi-dao  反其道
fan-qi-dao-er-hang-zhi  反其道而行之
fan-qi-dao-er-xing-zhi  反其道而行之
fan-qian-ying-zong  凡千影宗
fan-qing  烦请
fan-ran 翻然  幡然
fan-ran-xing-wu  幡然醒悟
fan-rao 繁扰  烦扰
fan-ren 烦人 犯人  凡人
fan-rong  繁荣
fan-rong-chang-cheng  繁荣昌盛
fan-rong-chang-sheng  繁荣昌盛
fan-sha  犯傻
fan-shang 翻上  犯上
fan-she  反射
fan-shen 反身 返身  翻身
fan-sheng 反省  繁盛
fan-sheng-wei  反胜为
fan-shi 犯事 烦蚀 凡世 反噬 凡事  凡是
fan-shou 贩售 反受 反手  翻手
fan-shou-wei-gong  反守为攻
fan-shu  翻书
fan-shuai  凡率
fan-shui  反水
fan-si 烦死  反思
fan-su  凡俗
fan-suo  繁琐
fan-tai  凡胎
fan-tan  反弹
fan-tang  饭堂
fan-teng  翻腾
fan-tian 梵天  翻天
fan-tian-fu-di  翻天覆地
fan-tie  凡铁
fan-tong  饭桶
fan-wei  范围
fan-wen 梵文  反问
fan-wen-ru-jie  繁文缛节
fan-wo  反握
fan-wu 烦恶  凡物
fan-xi 凡息  反喜
fan-xia  犯下
fan-xian 范险  犯险
fan-xiang 反响 反像  反向
fan-xiao  反笑
fan-xie-ye  番泻叶
fan-xin 凡心  烦心
fan-xing 范姓  繁星
fan-xiong  范兄
fan-xiu  翻修
fan-ya  反压
fan-yan  繁衍
fan-yan-sheng-xi  繁衍生息
fan-yao 反咬  饭要
fan-yao-yi-kou  反咬一口
fan-yin  梵音
fan-ying 反映  反应
fan-ying-chi-dun  反应迟钝
fan-yong  翻涌
fan-you  反有
fan-yu  凡于
fan-yue 翻越  翻阅
fan-yun-fu-yu  翻云覆雨
fan-za  繁杂
fan-zao  烦躁
fan-zeng  反增
fan-zhang  翻涨
fan-zhao 翻着 翻找  泛着
fan-zhe 翻着  泛着
fan-zhen  反震
fan-zhen-kai  反震开
fan-zheng 反证  反正
fan-zhi 泛指 反之  繁殖
fan-zhi-li  繁殖力
fan-zhi-qi  繁殖期
fan-zhi-yi-ran  反之亦然
fan-zhong 凡种 繁重  烦钟
fan-zhuan 反转  翻转
fan-zhuo 翻着  泛着
fan-zu  返祖
fan-zuo  凡座
fan-zuo-yong  反作用
fang 芳 防 方 坊  放
fang-ai  妨碍
fang-an  方案
fang-bao  放宝
fang-bei  防备
fang-ben-men  放本门
fang-bian  方便
fang-bian-kuai-jie  方便快捷
fang-bu-fang  防不防
fang-bu-sheng-fang  防不胜防
fang-bu-xia  放不下
fang-cai  方才
fang-cao  芳草
fang-chu 放处  放出
fang-chu-qu  放出去
fang-chu-wu  放储物
fang-chu-wu-dai  放储物袋
fang-ci  放此
fang-cun  方寸
fang-cun-da-luan  方寸大乱
fang-cun-di  方寸地
fang-cun-yi-luan  方寸已乱
fang-cun-zhi-jian  方寸之间
fang-da  放大
fang-dang  放荡
fang-dang-bu-ji  放荡不羁
fang-dao 防到 防盗  放到
fang-de  放得
fang-di  放低
fang-diao  放掉
fang-ding  房顶
fang-ding-lu  放鼎炉
fang-dou-fo  仿都佛
fang-dou-fu  仿都佛
fang-du-fo  仿都佛
fang-du-fu  仿都佛
fang-dui  放对
fang-dun  方盾
fang-duo  放多
fang-fa  方法
fang-fan  防范
fang-fan-cuo-shi  防范措施
fang-fang-mian-mian  方方面面
fang-fo 方佛  仿佛
fang-fu 防腐 方佛  仿佛
fang-ge  放歌
fang-gu  仿古
fang-guang  放光
fang-guo  放过
fang-hai  妨害
fang-han-bao-nuan  防寒保暖
fang-hang  放行
fang-hao  放好
fang-hong-ling  放红绫
fang-hu  防护
fang-hu-gui-shan  放虎归山
fang-hu-li  防护力
fang-hu-lin  防护林
fang-hu-xing  防护性
fang-hu-zhao  防护罩
fang-hua 放话  芳华
fang-huan  放缓
fang-huan-yu-wei-ran  防患于未然
fang-huang  彷徨
fang-hui  放回
fang-huo  防火
fang-ji-ren  放几人
fang-jia 放假  方家
fang-jian 坊间  房间
fang-jian-nei  房间内
fang-jin  放进
fang-jin-pa-shou  方锦帕收
fang-jin-qu  放进去
fang-ju  防具
fang-kai  放开
fang-kai-shou  放开手
fang-ke 方可  访客
fang-kuai  方块
fang-kuan  放宽
fang-kuan-xin  放宽心
fang-lao-guai  方老怪
fang-le  方了
fang-li 芳理  房里
fang-lian 芳脸  方脸
fang-liang  放亮
fang-liang-xi  放两膝
fang-liao  方了
fang-lin  放林
fang-lin-xuan  放林轩
fang-lue  方略
fang-luo  放落
fang-man  放慢
fang-mao-pin  仿冒品
fang-men  房门
fang-mian  方面
fang-mian-da-er  方面大耳
fang-ming  芳名
fang-mo-dan  仿魔丹
fang-mou  方某
fang-mu  放牧
fang-niu  放牛
fang-pa  方帕
fang-pi  放屁
fang-pian  方便
fang-pian-kuai-jie  方便快捷
fang-qi 房契 放其  放弃
fang-qi-shang  放其上
fang-qian  房钱
fang-qing  放晴
fang-qu  防区
fang-quan  放权
fang-ren 放人  放任
fang-ren-bu-guan  放任不管
fang-ren-jie  放人界
fang-ren-zhi-xin  防人之心
fang-ren-zi-liu  放任自流
fang-rong  芳容
fang-ru 放入 仿如  彷如
fang-ruan  放软
fang-ruo 彷若  仿若
fang-shang 防上  放上
fang-shang-qu  放上去
fang-she 房舍  放射
fang-she-chu  放射出
fang-she-chu-lai  放射出来
fang-shen  防身
fang-sheng 放生  放声
fang-sheng-da-ku  放声大哭
fang-shi 方始  方式
fang-shi-shu  方师叔
fang-shou 放手  防守
fang-shou-bu-guan  放手不管
fang-shou-qu-zuo  放手去做
fang-shou-yi-bo  放手一搏
fang-shua  放耍
fang-shui 防水  放水
fang-si  放肆
fang-song  放松
fang-suo  方所
fang-tian-hua  方天画
fang-tuo  放脱
fang-wang  放望
fang-wei 防卫 方为  方位
fang-wei-ren-shang  方为人上
fang-wu 芳物 防务 方物  房屋
fang-wu-jian-zhu  房屋建筑
fang-xia 防下  放下
fang-xia-tu-dao  放下屠刀
fang-xian 放现  防线
fang-xiang 芳香  方向
fang-xiang-xing  方向性
fang-xiao-qie  房小妾
fang-xin 方鑫 芳心  放心
fang-xin-bu-xia  放心不下
fang-xin-da-dan  放心大胆
fang-xin-hao-le  放心好了
fang-xin-hao-liao  放心好了
fang-xin-he  方鑫河
fang-xing 方姓 方形  放行
fang-xiong  方兄
fang-xue  放血
fang-yan 芳言 方言 放言  放眼
fang-yan-wang-qu  放眼望去
fang-yao  放药
fang-yi 放一 方怡  方一
fang-yi-fang  放一放
fang-ying  方婴
fang-you 访友  方有
fang-yu  防御
fang-yu-li  防御力
fang-yu-tong  放玉瞳
fang-yu-xing 防御性  防御型
fang-yuan  方圆
fang-yuan-shi-li  方圆十里
fang-zai  放在
fang-zai-xin-li  放在心里
fang-zai-xin-shang  放在心上
fang-zai-yan-li  放在眼里
fang-zei  防贼
fang-zhan  方占
fang-zhang 放掌  方丈
fang-zhao 防着  放着
fang-zhe 防着  放着
fang-zhen  方阵
fang-zheng  方正
fang-zhi 仿制 防止  放置
fang-zhi-pin  仿制品
fang-zhong 方中  房中
fang-zhu 防住  放逐
fang-zhuan  方砖
fang-zhuo 防着  放着
fang-zi 防字  房子
fang-zong 放纵  芳踪
fang-zong-men  放宗门
fang-zou  放走
fei 废 费 肺 非  飞
fei-bai  非败
fei-bang  诽谤
fei-bao  飞豹
fei-bao-bu-ke  非报不可
fei-ben  飞奔
fei-bi  非闭
fei-bi-bai  非彼拜
fei-bi-dan  非彼丹
fei-bi-jian  非彼剑
fei-bi-wan-jiao  非彼万蛟
fei-bi-xun-chang  非比寻常
fei-biao  飞镖
fei-bing-feng  非冰凤
fei-bu-diao  飞不掉
fei-cai  废材
fei-cao-chang  飞草长
fei-cao-zhang  飞草长
fei-ce  悱恻
fei-ce-chan-mian  悱恻缠绵
fei-cha  飞叉
fei-cha-dai  飞叉带
fei-cha-dou  飞叉斗
fei-chan  非缠
fei-chang  非常
fei-chang-chong-shi  非常重视
fei-chang-fu-za  非常复杂
fei-chang-gan-ji  非常感激
fei-chang-gan-xie  非常感谢
fei-chang-gao-xing  非常高兴
fei-chang-guang-kuo  非常广阔
fei-chang-jian-dan  非常简单
fei-chang-ling-huo  非常灵活
fei-chang-ming-xian  非常明显
fei-chang-rong-yi  非常容易
fei-chang-shi-he  非常适合
fei-chang-zhong-shi  非常重视
fei-che  飞车
fei-cheng  非成
fei-chi 废弛  飞驰
fei-chi-er-lai  飞驰而来
fei-chi-er-qu  飞驰而去
fei-chi-zhong-wu  非池中物
fei-chong 非重  飞虫
fei-chong-yao  非宠要
fei-chu 飞出  废除
fei-chu-qu  飞出去
fei-chuan  飞船
fei-chuang-xia  非闯下
fei-chun-she  费唇舌
fei-ci 飞刺  非此
fei-cui  翡翠
fei-da  非大
fei-da-gan  非大感
fei-da-shou  非大受
fei-da-sun  非大损
fei-dan  废丹
fei-dan-ben  废丹本
fei-dan-da  废丹大
fei-dan-di  废丹地
fei-dan-gong-shi  废丹共是
fei-dan-gou  废丹够
fei-dan-lai  废丹来
fei-dan-lin-xuan  废丹林轩
fei-dan-qi  废丹起
fei-dan-qu  废丹取
fei-dan-quan  废丹全
fei-dan-shang  废丹上
fei-dan-shi 废丹室  废丹时
fei-dan-shou 废丹收  废丹手
fei-dan-yao  废丹要
fei-dan-you  废丹有
fei-dan-zhong  废丹中
fei-dao 肥到 非刀 飞刀  飞到
fei-de 非得 肥得  飞得
fei-de-jia  飞得加
fei-deng-da  非瞪大
fei-di 飞低 肥地 非敌  非地
fei-dian  费点
fei-diao 飞掉  废掉
fei-dun  飞遁
fei-duo 费多  非夺
fei-duo-yuan  飞多远
fei-e  飞蛾
fei-e-pu-huo  飞蛾扑火
fei-er-chu  飞而出
fei-fa  非法
fei-fan  非凡
fei-fan-di  非凡地
fei-fan-ying-tian  沸反盈天
fei-fei-jin  费飞进
fei-fei-yang-yang  沸沸扬扬
fei-fen  非分
fei-fen-zhi-xiang  非分之想
fei-feng-yuan  非枫苑
fei-fu 非富 肺腑  非福
fei-gai  非该
fei-ge  菲戈
fei-gei  非给
fei-gong  费工
fei-gong-fu 费功夫  费工夫
fei-gu  非古
fei-guo  飞过
fei-guo-lai  飞过来
fei-guo-qu  飞过去
fei-hang  飞行
fei-hang-gao-du  飞行高度
fei-hang-su-du  飞行速度
fei-he  飞鹤
fei-hei-feng  非黑凤
fei-hong 飞鸿 绯红  飞虹
fei-hong-se  绯红色
fei-hu  非虎
fei-hua 费话 飞花  废话
fei-hua-lian-pian  废话连篇
fei-hua-shao-shuo  废话少说
fei-huang  飞蝗
fei-huang-teng-da  飞黄腾达
fei-hui 非毁  飞回
fei-hui-lai  飞回来
fei-hui-qu  飞回去
fei-huo  非祸
fei-ji  非给
fei-jian 非奸 非剑 飞溅  飞剑
fei-jiao  非蛟
fei-jie 费解  非解
fei-jin 非金 飞近 费劲 飞进  费尽
fei-jin-lai  飞进来
fei-jin-qu  飞进去
fei-jin-shu  非金属
fei-jin-xin-ji  费尽心机
fei-jin-xin-li  费尽心力
fei-jin-xin-si  费尽心思
fei-jing-diao  非惊掉
fei-jiu  飞久
fei-ju-jing  非巨鲸
fei-juan 飞卷  废卷
fei-jun  非君
fei-kai  飞开
fei-kan  非看
fei-ke-jin-pan  非克禁盘
fei-keng  废坑
fei-kou-she  费口舌
fei-kuai 非快  飞快
fei-kuang  废矿
fei-kui  非奎
fei-lai 非来  飞来
fei-lai-fei-qu  飞来飞去
fei-lai-heng-huo  飞来横祸
fei-lei  飞累
fei-li 非礼 非立 飞离  费力
fei-li-qi  费力气
fei-liao  废料
fei-lin 非林  飞临
fei-lin-xuan  非林轩
fei-ling  非灵
fei-ling-chong  非灵虫
fei-liu  飞流
fei-liu-zhi-xia  飞流直下
fei-liu-zhi-xia-san-qian-chi  飞流直下三千尺
fei-long 飞龙  非龙
fei-lue  飞掠
fei-luo  飞落
fei-man  非满
fei-mei  肥美
fei-mu  非木
fei-nai-long  非鼐龙
fei-nan-fei  非男非
fei-niao  飞鸟
fei-niu 肥牛  非牛
fei-pang  肥胖
fei-pin  废品
fei-po  飞魄
fei-pu  飞扑
fei-qi 废弃 非气  飞起
fei-qi-ge  非气个
fei-qian  非浅
fei-qin  飞禽
fei-qin-fei-gu  非亲非故
fei-qin-zou-shou  飞禽走兽
fei-qing  非轻
fei-qu 非取 废去 非去  飞去
fei-qu-bu-ke  非去不可
fei-quan  非全
fei-que  肥缺
fei-ran-teng  沸然腾
fei-ren 非人  废人
fei-ren-lei  非人类
fei-rou  肥肉
fei-ru  飞入
fei-sa  飞洒
fei-san  飞散
fei-se  绯色
fei-sha-bu-ke  非杀不可
fei-sha-zou-shi  飞沙走石
fei-shan  非善
fei-shang 废上 飞上  费上
fei-shang-le  飞上了
fei-shang-liao  飞上了
fei-shang-qu  飞上去
fei-shao  非少
fei-she 非蛇 飞蛇  飞射
fei-shen 费神 非身  飞身
fei-sheng  飞升
fei-shi 费时 飞实 费是 飞逝 废石 非是 非狮  费事
fei-shou 非受  肥瘦
fei-shou-jiao  费手脚
fei-shou-jue  费手脚
fei-shui  沸水
fei-shui-bu-liu-wai-ren-tian  肥水不流外人田
fei-shuo  肥硕
fei-si-bu-ke  非死不可
fei-si-ji-shang  非死即伤
fei-si-liang  费思量
fei-su  飞速
fei-suan  妃算
fei-tang  非趟
fei-tao  飞逃
fei-teng 飞腾  沸腾
fei-ti 飞踢  非替
fei-tian 非天  飞天
fei-tian-zhou  非天州
fei-tie  废铁
fei-tong 飞同 非痛  非同
fei-tong-fan-xiang  非同凡响
fei-tong-xiao-ke  非同小可
fei-tong-xun-chang  非同寻常
fei-tong-yi-ban  非同一般
fei-tou-da-er  肥头大耳
fei-tu  匪徒
fei-tuo  非脱
fei-wang 飞望 非望  飞往
fei-wang-chen  非枉称
fei-wang-cheng  非枉称
fei-wei  飞为
fei-wo  肥沃
fei-wo-zu-lei  非我族类
fei-wu 废物  飞舞
fei-wu-li-yong  废物利用
fei-xi  菲喜
fei-xia 飞下  非夏
fei-xia-lai  飞下来
fei-xia-qu  飞下去
fei-xian  飞仙
fei-xiang 飞翔 飞像  飞向
fei-xiang-fang  飞向坊
fei-xiang-xian  非像现
fei-xiang-yao  飞向药
fei-xiao  非小
fei-xiao-di  非小地
fei-xie 费些  飞泻
fei-xin  费心
fei-xin-lao-li  费心劳力
fei-xing  飞行
fei-xing-gao-du  飞行高度
fei-xing-su-du  飞行速度
fei-xiu  非修
fei-xu  废墟
fei-xuan  飞旋
fei-xue-jiao-dan  非血蛟丹
fei-ya  飞牙
fei-ya-chu  飞牙出
fei-ya-luo  飞牙落
fei-yan  飞烟
fei-yang 肥羊  飞扬
fei-yang-ba-hu  飞扬跋扈
fei-yao  非要
fei-yao-bu-ke  非要不可
fei-ye  肺叶
fei-ye-si  飞也似
fei-yi 飞蚁 非议 飞一 非蛇  飞蛇
fei-yi-ri-zhi-han  非一日之寒
fei-yi-suo-si  匪夷所思
fei-yong 非用  费用
fei-you 非有  非友
fei-yu 非玉 飞鱼  非鱼
fei-yuan 非元  飞远
fei-yuan-ying  非元婴
fei-yue  飞跃
fei-yun  飞云
fei-zai  飞在
fei-zang  肺脏
fei-zhan  非战
fei-zhang  飞涨
fei-zhao 非找  飞着
fei-zhe  飞着
fei-zhen  飞针
fei-zheng-chang  非正常
fei-zhi 废纸 非置  飞至
fei-zhong  非重
fei-zhou  飞舟
fei-zhou-zhe  费周折
fei-zhu  肥猪
fei-zhuo  飞着
fei-zou  飞走
fei-zou-bu-ke  非走不可
fen 分  份
fen-bao  分薄
fen-bei  分贝
fen-beng-li-xi  分崩离析
fen-bi  粉臂
fen-bi-ji-shu  奋笔疾书
fen-bian 分辩  分辨
fen-bian-zhen-jia  分辨真假
fen-bie  分别
fen-bing  分兵
fen-bo  分薄
fen-bu  分布
fen-bu-chu  分不出
fen-bu-gu-shen  奋不顾身
fen-bu-kai  分不开
fen-bu-qing 分不轻  分不清
fen-bu-qing-chu  分不清楚
fen-cai  粉彩
fen-cha 分岔  分叉
fen-cheng 纷呈  分成
fen-chi  分持
fen-chu 分处  分出
fen-cun  分寸
fen-dan 分弹 分担  纷弹
fen-dao  分到
fen-dao-yang-biao  分道扬镳
fen-de  分得
fen-de-chu  分得出
fen-de-jia  分得加
fen-de-qing  分得清
fen-deng-ji  分等级
fen-di 粉底  坟地
fen-dian 分点  分店
fen-dong  纷动
fen-dou  奋斗
fen-duan  分段
fen-duo  分舵
fen-duo-chu  分舵出
fen-duo-dai  分舵待
fen-duo-shi  分舵时
fen-e  份额
fen-er 分而  愤而
fen-er-zhan  愤而站
fen-fa  分发
fen-fa-tu-jiang  奋发图强
fen-fan  纷繁
fen-fan-fu-za  纷繁复杂
fen-fang  芬芳
fen-fei  纷飞
fen-fen 分分 忿忿 愤愤  纷纷
fen-fen-biao-shi  纷纷表示
fen-fen-bu-ping 忿忿不平  愤愤不平
fen-fen-ran  愤愤然
fen-fen-rao-rao  纷纷扰扰
fen-fen-yang-yang  纷纷扬扬
fen-fen-yi-lun  纷纷议论
fen-fu  吩咐
fen-ge 分个 分隔  分割
fen-ge-xian  分割线
fen-gei  分给
fen-gong  分工
fen-gong-he-zuo  分工合作
fen-gong-xie-zuo  分工协作
fen-guan  分管
fen-guang  分光
fen-hao 分号 分好  分毫
fen-hao-bu-cha  分毫不差
fen-hao-bu-chai  分毫不差
fen-hao-bu-ci  分毫不差
fen-hen  愤恨
fen-hong 粉红  分红
fen-hong-se  粉红色
fen-hua  分化
fen-hua-cheng  分化成
fen-hua-wa-jie  分化瓦解
fen-hun  分魂
fen-hun-dian  分魂点
fen-hun-hua  分魂化
fen-hun-hui  分魂会
fen-hun-jiao  分魂交
fen-hun-kuai  分魂会
fen-hun-lai  分魂来
fen-hun-mie  分魂灭
fen-hun-she  分魂舍
fen-hun-yong  分魂用
fen-ji 吩计 分给 分级  分击
fen-jia  分家
fen-jie 分界  分解
fen-jie-cheng  分解成
fen-jie-diao  分解掉
fen-jie-xian  分界线
fen-jin 分进  焚尽
fen-jin-he-ji  分进合击
fen-ju  分居
fen-kai  分开
fen-lei  分类
fen-lei-zheng-li  分类整理
fen-li 分立 奋力  分离
fen-li-chu-lai  分离出来
fen-lian  粉脸
fen-liang 分量  份量
fen-liang-lu  分两路
fen-lie 分列  分裂
fen-luan  纷乱
fen-luo 粉落 分落  纷落
fen-men  愤懑
fen-men-bie-lei  分门别类
fen-mi  分泌
fen-miao-bi-zheng  分秒必争
fen-ming  分明
fen-mo  粉末
fen-mo-deng-chang  粉墨登场
fen-mo-zhuang  粉末状
fen-mu  坟墓
fen-nao  纷闹
fen-nei-zhi-shi  分内之事
fen-ni  粉腻
fen-nian  分念
fen-nu  愤怒
fen-pai  分派
fen-pai-ren-wu  分派任务
fen-pei  分配
fen-pi  分批
fen-pin  分品
fen-qi 焚起 分歧  奋起
fen-qin-zhu-he  焚琴煮鹤
fen-qing  分青
fen-qu  分去
fen-quan  粉拳
fen-ran 忿然  愤然
fen-rao  纷扰
fen-san  分散
fen-san-ju-he  分散聚合
fen-san-kai-lai  分散开来
fen-se  粉色
fen-shao  焚烧
fen-shen 粉身 焚身 分身  分神
fen-shen-fa-shu  分身乏术
fen-shen-shu  分身术
fen-shen-sui-gu  粉身碎骨
fen-shi 分食  分尸
fen-shi-ji-su  愤世嫉俗
fen-shou  分手
fen-shu 分数 分属  份数
fen-shui  分水
fen-shui-ling  分水岭
fen-shuo  分说
fen-si  粉丝
fen-sui  粉碎
fen-sui-xing  粉碎性
fen-tan 分弹 分坛 纷谈  纷弹
fen-tian  焚天
fen-ting  分庭
fen-ting-kang-li  分庭抗礼
fen-tou  分头
fen-tu  粪土
fen-wai 份外  分外
fen-wai-duo-mu  分外夺目
fen-wai-yan-hong  分外眼红
fen-wei 焚为 氛围  分为
fen-wen-bu-qu  分文不取
fen-xi  分析
fen-xiang 焚香 分像  分享
fen-xiao  分晓
fen-xin  分心
fen-xuan  分选
fen-yi-bei  分一杯
fen-yi-bei-geng  分一杯羹
fen-yin-qu  分隐去
fen-yong  奋勇
fen-yong-zheng-xian  奋勇争先
fen-you  分忧
fen-yuan  分远
fen-yun  纷纭
fen-zhan 分站  奋战
fen-zheng  纷争
fen-zhi 奋之  分支
fen-zhi-se  奋之色
fen-zhong  坟中
fen-zuo  分坐
feng 冯 峰 逢 奉 蜂 疯  风
feng-bai  逢百
feng-bao  风暴
feng-bi  封闭
feng-bi-cui-zhi  风必摧之
feng-bo  风波
feng-bu  缝补
feng-cai  风采
feng-can-lu-su  风餐露宿
feng-can-lu-xiu  风餐露宿
feng-ce  封测
feng-cha  奉茶
feng-chai  凤钗
feng-chang-zuo-xi  逢场作戏
feng-chao  蜂巢
feng-chen  风尘
feng-cheng 峰城 奉承 丰盛  枫城
feng-cheng-da  风城大
feng-cheng-pai-ma  奉承拍马
feng-chi  风驰
feng-chi-dian-che  风驰电掣
feng-chuan 风传  疯传
feng-chui  风吹
feng-chui-cao-di-jian-niu-yang  风吹草低见牛羊
feng-chui-cao-dong  风吹草动
feng-chui-ri-shai  风吹日晒
feng-ci  讽刺
feng-cong  风从
feng-cun  封存
feng-da 奉大  风大
feng-da-shan  风大闪
feng-dai-feng  峰代峰
feng-dao 风盗 风岛  奉到
feng-dian 峰点 疯癫  风电
feng-diao  疯掉
feng-ding 封顶  峰顶
feng-dong  封冻
feng-du 蜂毒 封堵  风度
feng-du-pian-pian  风度翩翩
feng-dun  风遁
feng-er 峰儿  风儿
feng-er-hang  风而行
feng-er-xing  风而行
feng-fan 风帆  风范
feng-feng  峰峰
feng-feng-dian-dian  疯疯癫癫
feng-feng-huo-huo  风风火火
feng-feng-wu  风凤舞
feng-feng-yu-yu  风风雨雨
feng-fu 风缚  丰富
feng-fu-duo-cai  丰富多彩
feng-fu-guo  风拂过
feng-fu-shu  风缚术
feng-gang  风岗
feng-gao 风高 奉告  峰高
feng-ge 封阁  风格
feng-gong-wei-ji  丰功伟绩
feng-gou  疯狗
feng-gu  风骨
feng-guan  凤冠
feng-guan-xia-pei  凤冠霞帔
feng-guan-yin  奉纶音
feng-guang  风光
feng-hai  奉还
feng-hang 风行  奉行
feng-hao 封号  缝好
feng-he  缝合
feng-hen-jie  风痕界
feng-hong-fa  奉红发
feng-hou 封喉 峰后  丰厚
feng-hu  疯虎
feng-hua 风华 疯话  风化
feng-hua-jue-dai  风华绝代
feng-hua-xue-yue  风花雪月
feng-hua-zheng-mao  风华正茂
feng-huan  奉还
feng-huang  凤凰
feng-huang-hou  冯皇后
feng-hui  峰会
feng-hui-lu-zhuan  峰回路转
feng-huo  风火
feng-huo-lun  风火轮
feng-huo-tai  烽火台
feng-jia  冯家
feng-jie-jie  凤姐姐
feng-jing  风景
feng-jing-ru-hua  风景如画
feng-jing-tu  风景图
feng-jing-xiu-li  风景秀丽
feng-jing-you-mei  风景优美
feng-juan  风卷
feng-juan-can-yun  风卷残云
feng-jue  风诀
feng-kou-lang-jian  风口浪尖
feng-kuai  峰会
feng-kuang  疯狂
feng-kun  蜂困
feng-lai 疯来 峰来 蜂来  风来
feng-lang  风浪
feng-lao-guai  风老怪
feng-lei  风雷
feng-lei-dong  风雷动
feng-li 缝里 凤梨  锋利
feng-liang 风凉  风良
feng-liang-hua  风凉话
feng-lin 峰林  奉林
feng-lin-xuan  奉林轩
feng-ling 风铃  风灵
feng-ling-gen  风灵根
feng-ling-hu  丰灵湖
feng-ling-mai  峰灵脉
feng-ling-ti  凤灵体
feng-ling-yu  封灵玉
feng-ling-yu-hui  封灵玉会
feng-ling-yu-kuai  封灵玉会
feng-ling-yu-zhong  封灵玉中
feng-ling-zhen  封灵阵
feng-ling-zhu  封灵柱
feng-liu  风流
feng-liu-cheng-xing  风流成性
feng-liu-ti-tang  风流倜傥
feng-liu-xiao-sa  风流潇洒
feng-liu-yun-shi  风流韵事
feng-long  风龙
feng-long-shu  风龙术
feng-lu  俸禄
feng-luan  峰峦
feng-luan-die-zhang  峰峦叠嶂
feng-lun-yin  奉纶音
feng-ma-niu-bu  风马牛不
feng-ma-niu-bu-xiang-ji  风马牛不相及
feng-mai  凤脉
feng-man  丰满
feng-mang  锋芒
feng-mang-bi-lu  锋芒毕露
feng-mang-bu-lu  锋芒不露
feng-mang-tai-lu  锋芒太露
feng-mao  风貌
feng-mao-lin-jiao  凤毛麟角
